timestamp,elapsed_ms,counts,temp_c,temp_f
1784430051,32203337,76,19.000000,66.199997
1784430061,32213349,74,18.500000,65.300003
1784430071,32223361,76,19.000000,66.199997
1784430081,32233372,77,19.250000,66.650002
1784430091,32243384,75,18.750000,65.750000
1784430101,32253396,77,19.250000,66.650002
1784430111,32263408,76,19.000000,66.199997
1784430121,32273420,78,19.500000,67.099998
1784430131,32283432,77,19.250000,66.650002
1784430141,32293444,78,19.500000,67.099998
1784430151,32303456,76,19.000000,66.199997
1784430161,32313468,76,19.000000,66.199997
1784430171,32323480,79,19.750000,67.550003
1784430181,32333492,78,19.500000,67.099998
1784430191,32343503,78,19.500000,67.099998
1784430201,32353515,78,19.500000,67.099998
1784430211,32363527,79,19.750000,67.550003
1784430221,32373539,79,19.750000,67.550003
1784430231,32383551,77,19.250000,66.650002
1784430241,32393563,79,19.750000,67.550003
1784430251,32403575,78,19.500000,67.099998
1784430261,32413587,80,20.000000,68.000000
1784430271,32423599,80,20.000000,68.000000
1784430281,32433611,80,20.000000,68.000000
1784430291,32443623,80,20.000000,68.000000
1784430302,32453634,81,20.250000,68.449997
1784430312,32463646,82,20.500000,68.900002
1784430322,32473658,80,20.000000,68.000000
1784430332,32483670,82,20.500000,68.900002
1784430342,32493682,81,20.250000,68.449997
1784430352,32503694,81,20.250000,68.449997
1784430362,32513706,84,21.000000,69.800003
1784430372,32523718,85,21.250000,70.250000
1784430382,32533730,85,21.250000,70.250000
1784430392,32543742,84,21.000000,69.800003
1784430402,32553753,83,20.750000,69.349998
1784430412,32563765,83,20.750000,69.349998
1784430422,32573777,84,21.000000,69.800003
1784430432,32583789,83,20.750000,69.349998
1784430442,32593801,83,20.750000,69.349998
1784430452,32603813,83,20.750000,69.349998
1784430462,32613825,84,21.000000,69.800003
1784430472,32623837,82,20.500000,68.900002
1784430482,32633849,83,20.750000,69.349998
1784430492,32643861,82,20.500000,68.900002
1784430502,32653873,83,20.750000,69.349998
1784430512,32663884,83,20.750000,69.349998
1784430522,32673896,84,21.000000,69.800003
1784430532,32683908,84,21.000000,69.800003
1784430542,32693920,84,21.000000,69.800003
1784430552,32703932,85,21.250000,70.250000
1784430562,32713944,85,21.250000,70.250000
1784430572,32723956,86,21.500000,70.699997
1784430582,32733968,84,21.000000,69.800003
1784430592,32743980,84,21.000000,69.800003
1784430602,32753992,85,21.250000,70.250000
1784430612,32764003,86,21.500000,70.699997
1784430622,32774015,85,21.250000,70.250000
1784430632,32784027,85,21.250000,70.250000
1784430642,32794039,86,21.500000,70.699997
1784430652,32804051,86,21.500000,70.699997
1784430662,32814063,86,21.500000,70.699997
1784430672,32824075,85,21.250000,70.250000
1784430682,32834087,87,21.750000,71.150002
1784430692,32844099,87,21.750000,71.150002
1784430702,32854111,86,21.500000,70.699997
1784430712,32864123,85,21.250000,70.250000
1784430722,32874134,86,21.500000,70.699997
1784430732,32884146,86,21.500000,70.699997
1784430742,32894158,85,21.250000,70.250000
1784430752,32904170,85,21.250000,70.250000
1784430762,32914182,84,21.000000,69.800003
1784430772,32924194,86,21.500000,70.699997
1784430782,32934206,86,21.500000,70.699997
1784430792,32944218,87,21.750000,71.150002
1784430802,32954230,87,21.750000,71.150002
1784430812,32964242,86,21.500000,70.699997
1784430822,32974253,87,21.750000,71.150002
1784430832,32984265,86,21.500000,70.699997
1784430842,32994277,87,21.750000,71.150002
1784430852,33004289,86,21.500000,70.699997
1784430862,33014301,84,21.000000,69.800003
1784430872,33024313,86,21.500000,70.699997
1784430882,33034325,88,22.000000,71.599998
1784430892,33044337,88,22.000000,71.599998
1784430902,33054349,86,21.500000,70.699997
1784430912,33064361,88,22.000000,71.599998
1784430922,33074373,88,22.000000,71.599998
1784430932,33084384,88,22.000000,71.599998
1784430942,33094396,86,21.500000,70.699997
1784430952,33104408,88,22.000000,71.599998
1784430962,33114420,88,22.000000,71.599998
1784430972,33124432,88,22.000000,71.599998
1784430982,33134444,88,22.000000,71.599998
1784430992,33144456,87,21.750000,71.150002
1784431002,33154468,89,22.250000,72.050003
1784431012,33164480,88,22.000000,71.599998
1784431022,33174492,89,22.250000,72.050003
1784431032,33184503,88,22.000000,71.599998
1784431042,33194515,86,21.500000,70.699997
1784431052,33204527,87,21.750000,71.150002
1784431062,33214539,89,22.250000,72.050003
1784431072,33224551,89,22.250000,72.050003
1784431082,33234563,88,22.000000,71.599998
1784431092,33244575,89,22.250000,72.050003
1784431102,33254587,88,22.000000,71.599998
1784431112,33264599,89,22.250000,72.050003
1784431122,33274611,90,22.500000,72.500000
1784431132,33284623,88,22.000000,71.599998
1784431143,33294634,88,22.000000,71.599998
1784431153,33304646,90,22.500000,72.500000
1784431163,33314658,89,22.250000,72.050003
1784431173,33324670,90,22.500000,72.500000
1784431183,33334682,89,22.250000,72.050003
1784431193,33344694,90,22.500000,72.500000
1784431203,33354706,90,22.500000,72.500000
1784431213,33364718,88,22.000000,71.599998
1784431223,33374730,89,22.250000,72.050003
1784431233,33384742,90,22.500000,72.500000
1784431243,33394753,88,22.000000,71.599998
1784431253,33404765,90,22.500000,72.500000
1784431263,33414777,90,22.500000,72.500000
1784431273,33424789,90,22.500000,72.500000
1784431283,33434801,90,22.500000,72.500000
1784431293,33444813,90,22.500000,72.500000
1784431303,33454825,91,22.750000,72.949997
1784431313,33464837,91,22.750000,72.949997
1784431323,33474849,83,20.750000,69.349998
1784431333,33484861,77,19.250000,66.650002
1784431343,33494873,74,18.500000,65.300003
1784431353,33504884,72,18.000000,64.400002
1784431363,33514896,71,17.750000,63.950001
1784431373,33524908,69,17.250000,63.049999
1784431383,33534920,69,17.250000,63.049999
1784431393,33544932,66,16.500000,61.700001
1784431403,33554944,66,16.500000,61.700001
1784431413,33564956,65,16.250000,61.250000
1784431423,33574968,64,16.000000,60.799999
1784431433,33584980,65,16.250000,61.250000
1784431443,33594992,63,15.750000,60.349998
1784431453,33605003,62,15.500000,59.900002
1784431463,33615015,63,15.750000,60.349998
1784431473,33625027,62,15.500000,59.900002
1784431483,33635039,62,15.500000,59.900002
1784431493,33645051,61,15.250000,59.450001
1784431503,33655063,61,15.250000,59.450001
1784431513,33665075,61,15.250000,59.450001
1784431523,33675087,61,15.250000,59.450001
1784431533,33685099,60,15.000000,59.000000
1784431543,33695111,61,15.250000,59.450001
1784431553,33705123,60,15.000000,59.000000
1784431563,33715134,58,14.500000,58.099998
1784431573,33725146,59,14.750000,58.549999
1784431583,33735158,57,14.250000,57.650002
1784431593,33745170,59,14.750000,58.549999
1784431603,33755182,58,14.500000,58.099998
1784431613,33765194,58,14.500000,58.099998
1784431623,33775206,58,14.500000,58.099998
1784431633,33785218,58,14.500000,58.099998
1784431643,33795230,58,14.500000,58.099998
1784431653,33805242,58,14.500000,58.099998
1784431663,33815253,57,14.250000,57.650002
1784431673,33825265,57,14.250000,57.650002
1784431683,33835277,58,14.500000,58.099998
1784431693,33845289,58,14.500000,58.099998
1784431703,33855301,59,14.750000,58.549999
1784431713,33865313,62,15.500000,59.900002
1784431723,33875325,65,16.250000,61.250000
